ID,# of Calls / Emails
68983,182.343
68984,182.343
68985,149.578
68986,149.578
68987,114.467
68988,114.467
68989,77.5611
68990,77.5611
68991,39.4435
68992,39.4435
68993,3.80524
68994,3.80524
68995,3.80524
68996,3.80524
68997,3.80524
68998,3.80524
68999,3.80524
69000,4.52045
69001,3.80524
69002,3.80524
69003,4.16284
69004,3.80524
69005,3.80524
69006,3.80524
69007,3.80524
69008,3.80524
69009,10.2421
69010,10.2421
69011,10.2421
69012,10.2421
69013,10.2421
69014,6.66608
69015,5.95087
69016,3.80524
69017,10.2421
69018,3.80524
69019,45.8804
69020,83.998
69021,120.904
69022,114.467
69023,156.015
69024,149.578
69025,188.779
69026,150.651
69027,232.405
69028,195.931
69029,92.9347
69030,116.97
69031,151.366
69032,257.141
69033,248.284
69034,277.933
69035,16.679
69036,15.9638
69037,218.179
69038,213.888
69039,294.456
69040,177.697
69041,331.483
69042,306.447
69043,300.01
69044,313.718
69045,307.281
69046,309.718
69047,313.718
69048,306.447
69049,144.462
69050,300.01
69051,294.456
69052,16.3214
69053,257.141
69054,14.5334
69055,35.4634
69056,93.7624
69057,11.3149
69058,251.061
69059,218.679
69060,12.0302
69061,9.88453
69062,7.7389
69063,188.779
69064,182.343
69065,156.015
69066,120.904
69067,114.467
69068,83.998
69069,45.8804
69070,39.4435
69071,10.2421
69072,10.2421
69073,10.2421
69074,10.2421
69075,5.23566
69076,3.80524
69077,10.2421
69078,4.16284
69079,10.2421
69080,3.80524
69081,10.2421
69082,10.2421
69083,177.114
69084,71.6673
69085,70.2369
69086,322.349
69087,244.069
69088,144.148
69089,107.242
69090,68.4095
69091,32.0561
69092,33.4865
69093,3.80524
69094,3.80524
69095,39.4435
69096,39.4435
69097,77.5611
69098,114.467
69099,149.578
69100,149.578
69101,182.342
69102,225.969
69103,250.704
69104,250.704
69105,271.496
69106,271.496
69107,288.019
69108,288.019
69109,300.01
69110,300.01
69111,307.281
69112,307.281
69113,307.997
69114,309.718
69115,307.281
69116,307.281
69117,300.01
69118,300.01
69119,288.019
69120,250.704
69121,251.061
69122,212.242
69123,182.343
69124,182.343
69125,149.578
69126,149.578
69127,114.467
69128,114.467
69129,77.5611
69130,39.4435
69131,39.4435
69132,3.80524
69133,3.80524
69134,3.80524
69135,3.80524
69136,3.80524
69137,3.80524
69138,3.80524
69139,3.80524
69140,3.80524
69141,3.80524
69142,4.16284
69143,3.80524
69144,3.80524
69145,3.80524
69146,3.80524
69147,3.80524
69148,3.80524
69149,10.2421
69150,10.2421
69151,10.2421
69152,10.2421
69153,10.2421
69154,4.16284
69155,5.23566
69156,10.2421
69157,3.80524
69158,45.8804
69159,39.4435
69160,83.998
69161,602.028
69162,77.5611
69163,114.467
69164,156.015
69165,188.779
69166,232.405
69167,257.141
69168,17.3942
69169,467.521
69170,152.082
69171,250.704
69172,277.933
69173,294.456
69174,288.019
69175,306.447
69176,313.718
69177,7.38129
69178,313.718
69179,110.503
69180,306.447
69181,8.81171
69182,294.456
69183,10.2421
69184,257.141
69185,251.061
69186,218.679
69187,188.779
69188,212.957
69189,156.015
69190,120.904
69191,12.7454
69192,12.0302
69193,11.3149
69194,114.467
69195,83.998
69196,77.5611
69197,9.88453
69198,78.2763
69199,10.2421
69200,78.9915
69201,40.8739
69202,4.52045
69203,5.95087
69204,3.80524
69205,10.2421
69206,10.2421
69207,11.315
69208,6.30847
69209,5.59326
69210,4.87805
69211,4.16284
69212,10.2421
69213,3.80524
69214,10.2421
69215,4.52045
69216,3.80524
69217,4.52045
69218,3.80524
69219,10.2421
69220,10.2421
69221,15.6062
69222,21.6855
69223,19.5399
69224,18.8247
69225,16.3214
69226,17.7518
69227,16.3214
69228,15.6062
69229,17.0366
69230,17.3942
69231,78.4618
69232,76.3162
69233,72.3825
69234,71.6673
69235,336.247
69236,328.261
69237,315.554
69238,137.353
69239,99.7326
69240,24.5463
69241,22.7583
69242,72.0249
69243,318.773
69244,3.80524
69245,39.4435
69246,77.5611
69247,77.5611
69248,114.467
69249,149.578
69250,149.578
69251,182.342
69252,182.7
69253,225.969
69254,225.969
69255,250.704
69256,250.704
69257,271.496
69258,271.496
69259,288.019
69260,288.019
69261,300.01
69262,300.01
69263,307.281
69264,307.281
69265,309.718
69266,309.718
69267,307.281
69268,307.281
69269,307.997
69270,300.01
69271,300.01
69272,288.019
69273,288.734
69274,250.704
69275,251.061
69276,212.242
69277,212.242
69278,182.343
69279,182.343
69280,149.578
69281,149.578
69282,114.467
69283,114.467
69284,77.5611
69285,77.5611
69286,39.4435
69287,39.4435
69288,3.80524
69289,3.80524
69290,3.80524
69291,3.80524
69292,3.80524
69293,3.80524
69294,3.80524
69295,3.80524
69296,3.80524
69297,3.80524
69298,3.80524
69299,4.16284
69300,3.80524
69301,3.80524
69302,3.80524
69303,3.80524
69304,3.80524
69305,3.80524
69306,10.2421
69307,10.2421
69308,10.2421
69309,10.2421
69310,10.2421
69311,10.2421
69312,10.2421
69313,4.52045
69314,3.80524
69315,10.2421
69316,619.86
69317,560.131
69318,553.575
69319,6.66608
69320,4.52045
69321,39.4435
69322,83.998
69323,12.7454
69324,387.082
69325,195.393
69326,5.23566
69327,77.5611
69328,120.904
69329,282.582
69330,13.4606
69331,279.006
69332,179.585
69333,24.3687
69334,5.95087
69335,40.874
69336,78.2763
69337,114.467
69338,156.015
69339,41.5892
69340,78.9915
69341,115.182
69342,149.578
69343,188.779
69344,15.2486
69345,528.755
69346,469.025
69347,122.119
69348,7.02369
69349,80.0643
69350,116.255
69351,150.651
69352,182.7
69353,232.405
69354,151.366
69355,225.969
69356,257.141
69357,152.082
69358,184.13
69359,250.704
69360,277.933
69361,184.846
69362,227.399
69363,294.456
69364,228.114
69365,252.134
69366,272.212
69367,288.019
69368,306.447
69369,352.38
69370,272.927
69371,288.734
69372,300.01
69373,313.718
69374,185.919
69375,253.565
69376,289.449
69377,300.725
69378,307.281
69379,316.155
69380,301.441
69381,307.997
69382,309.718
69383,313.718
69384,308.712
69385,310.433
69386,307.281
69387,306.447
69388,12.0302
69389,302.871
69390,309.427
69391,311.148
69392,307.997
69393,300.01
69394,294.456
69395,288.734
69396,257.141
69397,8.45411
69398,251.061
69399,218.679
69400,212.242
69401,188.779
69402,13.4606
69403,182.343
69404,156.015
69405,183.058
69406,120.904
69407,114.467
69408,83.998
69409,184.488
69410,115.182
69411,45.8804
69412,115.897
69413,78.2763
69414,39.4435
69415,10.2421
69416,40.1587
69417,3.80524
69418,10.2421
69419,10.2421
69420,10.2421
69421,10.2421
69422,3.80524
69423,10.2421
69424,4.87805
69425,10.2421
69426,4.87805
69427,5.59326
69428,4.52045
69429,3.80524
69430,3.80524
69431,10.2421
69432,10.2421
69433,22.4007
69434,21.6855
69435,136.638
69436,22.4007
69437,21.6855
69438,20.9703
69439,18.4671
69440,21.6855
69441,221.433
69442,74.8857
69443,74.1705
69444,73.4553
69445,72.7401
69446,72.0249
69447,152.015
69448,261.729
69449,285.749
69450,305.826
69451,321.634
69452,322.349
69453,341.902
69454,338.751
69455,330.764
69456,318.058
69457,20.9703
69458,318.773
69459,280.027
69460,240.493
69461,210.593
69462,141.287
69463,103.666
69464,64.8335
69465,28.48
69466,29.1952
69467,28.48
69468,27.7648
69469,27.0496
69470,28.48
69471,27.7648
69472,27.0496
69473,26.3344
69474,337.969
69475,340.896
69476,342.618
69477,105.812
69478,66.9791
69479,337.916
69480,72.3825
69481,3.80524
69482,3.80524
69483,3.80524
69484,3.80524
69485,3.80524
69486,39.4435
69487,39.4435
69488,77.5611
69489,77.5611
69490,114.467
69491,114.467
69492,149.578
69493,149.578
69494,182.342
69495,182.7
69496,225.969
69497,225.969
69498,250.704
69499,250.704
69500,251.419
69501,271.496
69502,271.496
69503,288.019
69504,288.019
69505,300.01
69506,300.01
69507,307.281
69508,307.281
69509,307.997
69510,309.718
69511,309.718
69512,310.433
69513,307.281
69514,307.281
69515,300.01
69516,300.01
69517,288.019
69518,288.734
69519,289.807
69520,250.704
69521,251.061
69522,251.776
69523,212.242
69524,212.242
69525,182.343
69526,182.343
69527,149.578
69528,149.578
69529,114.467
69530,114.467
69531,77.5611
69532,77.5611
69533,39.4435
69534,39.4435
69535,3.80524
69536,3.80524
69537,3.80524
69538,3.80524
69539,3.80524
69540,3.80524
69541,3.80524
69542,3.80524
69543,3.80524
69544,3.80524
69545,3.80524
69546,4.16284
69547,3.80524
69548,3.80524
69549,3.80524
69550,3.80524
69551,3.80524
69552,3.80524
69553,10.2421
69554,10.2421
69555,10.2421
69556,10.2421
69557,10.2421
69558,10.2421
69559,10.2421
69560,10.2421
69561,5.23566
69562,45.8804
69563,613.304
69564,40.1588
69565,77.5611
69566,120.904
69567,279.006
69568,586.221
69569,526.491
69570,179.585
69571,24.3687
69572,5.95087
69573,40.874
69574,114.467
69575,156.015
69576,78.0166
69577,7.38129
69578,41.5892
69579,115.182
69580,149.578
69581,188.779
69582,182.7
69583,232.405
69584,225.969
69585,257.141
69586,407.792
69587,250.704
69588,277.933
69589,271.496
69590,294.456
69591,228.114
69592,288.019
69593,306.447
69594,228.829
69595,252.849
69596,272.927
69597,300.01
69598,313.718
69599,18.1095
69600,106.573
69601,12.7454
69602,273.642
69603,289.449
69604,307.281
69605,316.155
69606,20.9703
69607,12.7454
69608,12.0302
69609,290.164
69610,301.441
69611,307.997
69612,309.718
69613,313.718
69614,20.2551
69615,12.7454
69616,26.8661
69617,238.951
69618,110.503
69619,8.0965
69620,7.38129
69621,308.712
69622,310.433
69623,307.281
69624,306.447
69625,150.184
69626,74.3127
69627,8.0965
69628,7.38129
69629,302.871
69630,309.427
69631,311.148
69632,300.01
69633,294.456
69634,6.66608
69635,309.427
69636,288.734
69637,257.141
69638,35.4634
69639,11.3149
69640,302.513
69641,289.807
69642,251.061
69643,218.679
69644,10.5997
69645,8.45411
69646,47.8244
69647,290.522
69648,188.779
69649,27.0315
69650,252.492
69651,182.343
69652,156.015
69653,253.207
69654,213.673
69655,120.904
69656,214.388
69657,114.467
69658,83.998
69659,184.488
69660,115.182
69661,45.8804
69662,115.897
69663,39.4435
69664,10.2421
69665,7.38129
69666,152.439
69667,10.2421
69668,7.38129
69669,3.80524
69670,10.2421
69671,8.0965
69672,7.38129
69673,8.0965
69674,4.52045
69675,3.80524
69676,10.2421
69677,10.2421
69678,4.16284
69679,10.2421
69680,3.80524
69681,10.2421
69682,4.52045
69683,3.80524
69684,4.52045
69685,3.80524
69686,4.52045
69687,3.80524
69688,17.3942
69689,135.208
69690,97.587
69691,17.0366
69692,16.3214
69693,15.6062
69694,59.4694
69695,314.839
69696,23.8311
69697,315.554
69698,276.809
69699,23.1159
69700,22.4007
69701,21.6855
69702,18.4671
69703,16.3214
69704,238.347
69705,207.732
69706,174.253
69707,138.426
69708,101.521
69709,62.6878
69710,27.0496
69711,26.3344
69712,25.6192
69713,24.1887
69714,24.1887
69715,21.6855
69716,20.2551
69717,210.593
69718,177.829
69719,178.544
69720,105.097
69721,70.9521
69722,70.5945
69723,70.2369
69724,73.4553
69725,319.846
69726,239.063
69727,72.0249
69728,82.3954
69729,70.9521
69730,76.3162
69731,338.631
69732,29.9104
69733,30.6256
69734,330.407
69735,3.80524
69736,3.80524
69737,3.80524
69738,3.80524
69739,3.80524
69740,39.4435
69741,39.4435
69742,77.5611
69743,77.5611
69744,114.467
69745,114.467
69746,149.578
69747,149.578
69748,182.342
69749,182.7
69750,225.969
69751,225.969
69752,250.704
69753,250.704
69754,271.496
69755,271.496
69756,288.019
69757,288.019
69758,300.01
69759,300.01
69760,307.281
69761,307.281
69762,309.718
69763,309.718
69764,307.281
69765,307.281
69766,300.01
69767,300.01
69768,288.019
69769,288.734
69770,289.807
69771,250.704
69772,251.061
69773,212.242
69774,212.242
69775,212.957
69776,182.343
69777,182.343
69778,149.578
69779,149.578
69780,114.467
69781,114.467
69782,77.5611
69783,77.5611
69784,78.2763
69785,39.4435
69786,39.4435
69787,3.80524
69788,3.80524
69789,3.80524
69790,3.80524
69791,3.80524
69792,3.80524
69793,3.80524
69794,3.80524
69795,3.80524
69796,3.80524
69797,4.16284
69798,3.80524
69799,3.80524
69800,3.80524
69801,3.80524
69802,3.80524
69803,3.80524
69804,3.80524
69805,10.2421
69806,10.2421
69807,10.2421
69808,10.2421
69809,10.2421
69810,10.2421
69811,6.66608
69812,560.131
69813,45.8804
69814,5.23566
69815,602.028
69816,542.298
69817,526.491
69818,371.275
69819,179.585
69820,24.3687
69821,5.95087
69822,40.874
69823,156.015
69824,262.505
69825,80.1622
69826,78.0166
69827,7.38129
69828,6.66608
69829,41.5892
69830,78.9915
69831,115.182
69832,149.578
69833,188.779
69834,7.7389
69835,150.651
69836,182.7
69837,232.405
69838,183.415
69839,257.141
69840,184.13
69841,226.684
69842,250.704
69843,277.933
69844,15.9638
69845,373.395
69846,26.4894
69847,9.16932
69848,367.674
69849,184.846
69850,227.399
69851,251.419
69852,271.496
69853,294.456
69854,272.212
69855,288.019
69856,306.447
69857,252.849
69858,300.01
69859,313.718
69860,307.281
69861,316.155
69862,274.357
69863,309.718
69864,313.718
69865,302.156
69866,307.281
69867,306.447
69868,309.427
69869,311.148
69870,307.997
69871,300.01
69872,294.456
69873,309.427
69874,288.734
69875,257.141
69876,7.02369
69877,302.513
69878,289.807
69879,251.061
69880,218.679
69881,47.8244
69882,290.522
69883,251.776
69884,212.242
69885,188.779
69886,252.492
69887,212.957
69888,182.343
69889,156.015
69890,253.207
69891,213.673
69892,183.058
69893,120.904
69894,214.388
69895,183.773
69896,150.294
69897,114.467
69898,83.998
69899,151.009
69900,45.8804
69901,151.724
69902,39.4435
69903,10.2421
69904,152.439
69905,116.612
69906,10.2421
69907,40.8739
69908,3.80524
69909,10.2421
69910,10.2421
69911,5.95087
69912,3.80524
69913,5.95087
69914,5.23566
69915,3.80524
69916,10.2421
69917,10.2421
69918,10.2421
69919,10.2421
69920,10.2421
69921,3.80524
69922,10.2421
69923,10.2421
69924,20.2551
69925,19.5399
69926,17.7518
69927,20.2551
69928,19.5399
69929,16.3214
69930,14.891
69931,338.684
69932,136.638
69933,23.1159
69934,15.6062
69935,137.353
69936,138.426
69937,100.805
69938,61.9726
69939,74.1705
69940,341.187
69941,278.597
69942,62.6878
69943,24.904
69944,21.6855
69945,19.5399
69946,18.1094
69947,331.479
69948,27.7648
69949,28.48
69950,27.7648
69951,26.3344
69952,24.5463
69953,39.5658
69954,283.961
69955,83.8259
69956,21.6855
69957,74.1705
69958,3.80524
69959,3.80524
69960,3.80524
69961,3.80524
69962,3.80524
69963,3.80524
69964,3.80524
69965,3.80524
69966,39.4435
69967,39.4435
69968,77.5611
69969,77.5611
69970,114.467
69971,114.467
69972,149.578
69973,149.578
69974,182.342
69975,182.7
69976,225.969
69977,225.969
69978,250.704
69979,250.704
69980,251.419
69981,271.496
69982,271.496
69983,288.019
69984,288.019
69985,300.01
69986,300.01
69987,300.725
69988,307.281
69989,307.281
69990,309.718
69991,309.718
69992,307.281
69993,307.281
69994,300.01
69995,300.01
69996,288.019
69997,288.734
69998,250.704
69999,251.061
70000,212.242
70001,212.242
70002,212.957
70003,182.343
70004,182.343
70005,149.578
70006,149.578
70007,114.467
70008,114.467
70009,77.5611
70010,77.5611
70011,39.4435
70012,39.4435
70013,3.80524
70014,3.80524
70015,3.80524
70016,3.80524
70017,3.80524
70018,3.80524
70019,3.80524
70020,3.80524
70021,3.80524
70022,3.80524
70023,3.80524
70024,4.16284
70025,3.80524
70026,3.80524
70027,4.52045
70028,3.80524
70029,3.80524
70030,3.80524
70031,3.80524
70032,10.2421
70033,10.2421
70034,10.2421
70035,4.52045
70036,3.80524
70037,4.52045
70038,4.52045
70039,12.0302
70040,5.95087
70041,77.5611
70042,120.904
70043,12.7454
70044,279.006
70045,586.221
70046,526.491
70047,371.275
70048,179.585
70049,5.95087
70050,40.874
70051,78.2763
70052,114.467
70053,156.015
70054,6.66608
70055,41.5892
70056,78.9915
70057,115.182
70058,188.779
70059,469.025
70060,116.255
70061,150.651
70062,182.7
70063,232.405
70064,195.931
70065,15.9638
70066,441.271
70067,439.841
70068,284.624
70069,92.9347
70070,151.366
70071,183.415
70072,225.969
70073,257.141
70074,9.16932
70075,226.684
70076,250.704
70077,277.933
70078,213.888
70079,227.399
70080,251.419
70081,271.496
70082,294.456
70083,252.134
70084,272.212
70085,288.019
70086,306.447
70087,272.927
70088,288.734
70089,300.01
70090,313.718
70091,18.1095
70092,12.7454
70093,273.642
70094,289.449
70095,300.725
70096,307.281
70097,316.155
70098,12.0302
70099,218.055
70100,276.354
70101,7.38129
70102,274.357
70103,290.164
70104,301.441
70105,307.997
70106,309.718
70107,313.718
70108,308.712
70109,307.281
70110,306.447
70111,7.38129
70112,302.871
70113,311.148
70114,307.997
70115,300.01
70116,294.456
70117,8.0965
70118,7.38129
70119,301.441
70120,288.734
70121,257.141
70122,8.45411
70123,7.7389
70124,7.02369
70125,302.513
70126,251.061
70127,218.679
70128,47.8244
70129,212.242
70130,188.779
70131,27.0315
70132,252.492
70133,212.957
70134,182.343
70135,156.015
70136,11.2245
70137,253.207
70138,149.578
70139,120.904
70140,83.998
70141,77.5611
70142,45.8804
70143,78.2763
70144,39.4435
70145,10.2421
70146,40.1587
70147,3.80524
70148,10.2421
70149,4.52045
70150,10.2421
70151,5.23566
70152,4.52045
70153,3.80524
70154,10.2421
70155,5.23566
70156,3.80524
70157,10.2421
70158,10.2421
70159,4.16284
70160,4.87805
70161,10.2421
70162,8.45411
70163,6.30847
70164,5.23566
70165,24.7203
70166,8.45411
70167,7.7389
70168,7.7389
70169,6.66608
70170,5.95087
70171,5.95087
70172,5.23566
70173,4.52045
70174,3.80524
70175,10.5997
70176,10.5997
70177,9.88453
70178,8.81171
70179,17.7518
70180,17.0366
70181,16.3214
70182,14.891
70183,99.0174
70184,315.554
70185,239.063
70186,209.163
70187,175.684
70188,139.857
70189,102.236
70190,102.951
70191,27.0496
70192,64.8335
70193,28.48
70194,320.203
70195,27.0496
70196,25.6192
70197,26.3344
70198,24.5463
70199,23.1159
70200,73.8129
70201,71.6673
70202,285.749
70203,326.282
70204,217.388
70205,183.909
70206,134.493
70207,17.0366
70208,303.323
70209,308.687
70210,318.773
70211,3.80524
70212,3.80524
70213,3.80524
70214,3.80524
70215,3.80524
70216,3.80524
70217,3.80524
70218,3.80524
70219,3.80524
70220,39.4435
70221,77.5611
70222,77.5611
70223,114.467
70224,114.467
70225,149.578
70226,149.578
70227,182.342
70228,182.7
70229,225.969
70230,225.969
70231,250.704
70232,250.704
70233,271.496
70234,271.496
70235,288.019
70236,288.019
70237,300.01
70238,300.01
70239,307.281
70240,307.281
70241,309.718
70242,309.718
70243,307.281
70244,307.281
70245,300.01
70246,300.01
70247,288.019
70248,288.734
70249,250.704
70250,251.061
70251,212.242
70252,212.242
70253,182.343
70254,182.343
70255,149.578
70256,149.578
70257,114.467
70258,114.467
70259,77.5611
70260,77.5611
70261,39.4435
70262,39.4435
70263,3.80524
70264,3.80524
70265,3.80524
70266,3.80524
70267,5.23566
70268,3.80524
70269,3.80524
70270,3.80524
70271,3.80524
70272,3.80524
70273,3.80524
70274,4.16284
70275,3.80524
70276,3.80524
70277,3.80524
70278,3.80524
70279,10.2421
70280,3.80524
70281,10.2421
70282,3.80524
70283,10.2421
70284,3.80524
70285,10.2421
70286,10.2421
70287,10.2421
70288,10.2421
70289,5.95087
70290,3.80524
70291,602.028
70292,5.95087
70293,5.23566
70294,40.1588
70295,77.5611
70296,120.904
70297,586.221
70298,526.491
70299,371.275
70300,179.585
70301,24.3687
70302,5.95087
70303,114.467
70304,156.015
70305,566.143
70306,7.38129
70307,41.5892
70308,78.9915
70309,188.779
70310,80.0643
70311,116.255
70312,150.651
70313,182.7
70314,232.405
70315,284.624
70316,116.97
70317,151.366
70318,183.415
70319,225.969
70320,257.141
70321,250.704
70322,277.933
70323,227.399
70324,251.419
70325,271.496
70326,294.456
70327,272.212
70328,288.019
70329,306.447
70330,252.849
70331,272.927
70332,288.734
70333,300.01
70334,313.718
70335,19.5399
70336,11.3149
70337,185.919
70338,307.281
70339,316.155
70340,7.38129
70341,274.357
70342,307.997
70343,309.718
70344,313.718
70345,110.503
70346,6.66608
70347,307.281
70348,306.447
70349,12.7454
70350,309.427
70351,311.148
70352,307.997
70353,300.01
70354,294.456
70355,288.734
70356,257.141
70357,251.061
70358,218.679
70359,290.522
70360,188.779
70361,182.343
70362,156.015
70363,11.2245
70364,149.578
70365,120.904
70366,83.998
70367,184.488
70368,77.5611
70369,45.8804
70370,151.724
70371,39.4435
70372,10.2421
70373,10.5997
70374,10.2421
70375,11.315
70376,3.80524
70377,10.2421
70378,15.5157
70379,10.2421
70380,11.3149
70381,10.2421
70382,10.2421
70383,5.59326
70384,4.52045
70385,6.30847
70386,5.23566
70387,4.52045
70388,3.80524
70389,4.52045
70390,10.2421
70391,10.2421
70392,20.2551
70393,15.6062
70394,24.5463
70395,28.48
70396,285.749
70397,28.1224
70398,286.822
70399,247.287
70400,217.388
70401,184.624
70402,148.797
70403,111.176
70404,36.7049
70405,37.4201
70406,36.7049
70407,35.9897
70408,35.2745
70409,35.9897
70410,35.2745
70411,32.0561
70412,29.9104
